reward,f1,nhd
0.302411539,0.117647059,0.75
0.106896552,0,0.85
0.198751687,0.235294118,0.65
0.313076923,0.25,0.6
0.116896552,0.125,0.7
0.215761456,0.25,0.6
0.220248139,0.133333333,0.65
0.312411539,0.125,0.7
0.301895206,0.117647059,0.75
0.301895206,0.117647059,0.75
0.301895206,0.117647059,0.75
0.302411539,0.117647059,0.75
0.292834924,0.375,0.5
0.303682239,0.5,0.4
0.293682239,0.470588235,0.45
0.282834924,0.352941176,0.55
0.207352941,0.235294118,0.65
0.175594778,0.625,0.3
0.247510534,0.4,0.45
0.238523238,0.375,0.5
0.165594778,0.470588235,0.45
0.115454545,0.533333333,0.35
0.214419476,0.375,0.5
0.165594778,0.588235294,0.35
0.133592233,0.266666667,0.55
0.297191011,0.352941176,0.55
0.165594778,0.470588235,0.45
