reward,f1,nhd
0.215503686,0.166666667,0.5
0.3,0.307692308,0.45
0.19979798,0.153846154,0.55
0.287142857,0.333333333,0.4
0.20979798,0.166666667,0.5
0.21979798,0.181818182,0.45
0.310134953,0.166666667,0.5
0.096666667,0,0.6
0.106666667,0,0.55
0.29727781,0.181818182,0.45
0.106666667,0,0.55
0.116666667,0,0.5
0.327469197,0.333333333,0.4
0.096666667,0.166666667,0.5
0.106666667,0.181818182,0.45
0.230134953,0.333333333,0.4
0.240134953,0.363636364,0.35
0.343809524,0.461538462,0.35
0.262857143,0.307692308,0.45
0.267451737,0.333333333,0.4
0.333333333,0.461538462,0.35
0.318888889,0.333333333,0.4
0.355454545,0.5,0.3
0.267451737,0.333333333,0.4
0.282857143,0.363636364,0.35
0.282857143,0.363636364,0.35
0.230134953,0.333333333,0.4
0.499777778,0.666666667,0.2
0.431746032,0.545454545,0.25
0.468484848,0.615384615,0.25
0.503636364,0.545454545,0.25
0.282857143,0.363636364,0.35
0.281746032,0.4,0.3
0.433174603,0.5,0.3
0.290389036,0.5,0.3
0.300389036,0.545454545,0.25
0.50312253,0.5,0.3
0.443174603,0.363636364,0.35
0.33,0.5,0.3
0.290389036,0.333333333,0.4
0.300389036,0.363636364,0.35
0.33,0.5,0.3
0.403516484,0.461538462,0.35
0.50312253,0.5,0.3
0.50312253,0.333333333,0.4
0.443174603,0.181818182,0.45
0.31,0.333333333,0.4
0.51312253,0.363636364,0.35
0.464285714,0.2,0.4
0.325263158,0.363636364,0.35
0.498484848,0.4,0.3
0.235503686,0.2,0.4
0.23979798,0.222222222,0.35
0.488484848,0.363636364,0.35
0.21979798,0.181818182,0.45
